data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-09-25T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,58,4,62,1777,1839,-8,49,76583,2542,,,80964,2203722,837612,Dal totale dei positivi sono stati eliminati 2 casi in quanto non pazienti Covid.,0,,,80964,0,1396278,807444,ITF,ITF1,80917,47,76529,54,64,-6,2541,1,4,0,2195497,8225,835773,1839
2021-09-25T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,40,3,43,1188,1231,-19,27,28103,611,,,29945,459073,235613,"Il numero totale dei decessi ne comprende n. 23 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0,,,29945,0,436872,22201,ITF,ITF5,29918,27,28057,46,48,-8,611,0,3,0,458121,952,235340,273
2021-09-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,160,12,172,3877,4049,-136,133,77724,1392,,,83165,1176351,1042970,L' ASP di Catanzaro comunica 7 nuovi positivi e 2 guariti fuori regione.				 L' ASP di Cosenza comunica 87 nuovi positivi di cui  un nuovo caso positivo a domicilio nel setting fuori regione.										 L' ASP  di Crotone comunica 13 nuovi positivi.				,1,,,83149,16,1032579,143772,ITF,ITF6,83032,133,77458,266,158,2,1389,3,13,-1,1172301,4050,1040331,2639
2021-09-25T17:00:00,ITA,15,Campania,40.83956555,14.25084984,266,15,281,7260,7541,48,342,439638,7899,,,455078,6531775,3512806,,0,,,443490,11588,5203983,1327792,ITF,ITF3,454736,342,439346,292,268,-2,7897,2,18,-3,6513432,18343,3510333,2473
2021-09-25T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,383,48,431,13349,13780,140,340,395074,13458,,,422312,8716415,2075360,"Sono stati eliminati 2 casi, positivi a test antigenico ma non confermati da tampone molecolare. Sono stati eliminati 1 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19.",7,,,421950,362,5780120,2936295,ITH,ITH5,421975,337,394882,192,392,-9,13453,5,45,3,8679232,37183,2073046,2314
2021-09-25T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,45,9,54,1075,1129,-30,69,108491,3817,,,113437,2690617,795600,Il totale dei casi positivi è stato ridotto di 1 a seguito di un test positivo rimosso dopo revisione del caso (caso fuori regione)		,0,,,98167,15270,2097732,592885,ITH,ITH4,113369,68,108393,98,46,-1,3817,0,10,-1,2678328,12289,793290,2310
2021-09-25T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,396,55,451,9868,10319,-74,306,364246,8632,,,383197,9010075,4646297,,4,,,374141,9056,5471071,3539004,ITI,ITI4,382891,306,363868,378,395,1,8630,2,51,4,8985236,24839,4643342,2955
2021-09-25T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,60,7,67,1058,1125,17,73,106821,4407,,,112353,2288745,848328,*di cui 29 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021]. ,1,,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare ,112353,0,1619838,668907,ITC,ITC3,112280,73,106769,52,64,-4,4403,4,6,1,2280214,8531,846096,2232
2021-09-25T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,401,58,459,10308,10767,32,478,837341,34012,,,882120,14771762,5413093,,2,,,817741,64379,10659708,4112054,ITC,ITC4,881642,478,836903,438,414,-13,34004,8,60,-2,14705407,66355,5399013,14080
2021-09-25T17:00:00,ITA,11,Marche,43.61675973,13.5188753,58,21,79,2573,2652,-2,62,107816,3070,,,113538,1531450,891492,,3,,,113538,0,1331916,199534,ITI,ITI3,113476,62,107754,62,61,-3,3068,2,20,1,1528047,3403,889398,2094
2021-09-25T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,2,5,145,150,3,4,13840,496,,,14486,272249,238513,,0,,,14486,0,259219,13030,ITF,ITF2,14482,4,13839,1,3,0,496,0,2,0,271893,356,238158,355
