data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-02 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,0,0,0,5,52,5,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,39,1,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,15,Campania,40.83956555,14.25084984,4,0,4,13,17,0,0,0,17,373,17,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,148,16,164,160,324,47,0,11,335,1973,285,50,0,0,8,3,13,3
2020-03-02 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,9,9,3,0,0,9,269,6,3,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,3,0,3,1,4,1,3,0,7,773,6,1,3,0,0,0,0,0
2020-03-02 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,12,1,13,5,18,-3,4,0,22,121,25,-3,4,0,0,0,1,0
2020-03-02 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,478,127,605,472,1077,190,139,38,1254,7925,984,270,73,66,24,14,106,21
2020-03-02 18:00:00,ITA,11,Marche,43.61675973,13.5188753,17,6,23,11,34,9,0,1,35,137,25,10,0,0,0,1,5,1
2020-03-02 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,1,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,12,2,14,37,51,2,0,0,51,434,49,2,0,0,0,0,2,0
2020-03-02 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,2,4,1,0,0,4,278,3,1,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,-2,2,0,7,307,9,-2,2,0,0,0,0,0
2020-03-02 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,0,1,0,13,613,13,0,1,0,0,0,0,0
2020-03-02 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,0,0,0,2,35,2,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
2020-03-02 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,53,14,67,204,271,10,0,2,273,9782,263,10,0,0,2,0,13,1
