data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-05-01T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,348,32,380,8199,8579,196,226,60457,2408,,,71444,1432454,623798,,3,,,71444,0,1018218,414236,ITF,ITF1,71218,226,60432,25,374,-26,2403,5,36,-4,1424564,7890,621666,2132
2021-05-01T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,158,9,167,6125,6292,62,199,17329,534,,,24155,339466,189167,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 19 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",1,,,24155,0,324936,14530,ITF,ITF5,23956,199,17192,137,164,-6,534,0,8,1,337824,1642,188473,694
2021-05-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,444,45,489,14568,15057,-157,337,44339,1015,,,60411,776182,719974,,1,,,60398,13,745746,30436,ITF,ITF6,60074,337,43849,490,467,-23,1011,4,46,-1,772432,3750,716746,3228
2021-05-01T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1441,137,1578,90019,91597,209,1950,295740,6405,,,393742,4336049,2855990,,15,,,382154,11588,3936769,399280,ITF,ITF3,391792,1950,294011,1729,1452,-11,6393,12,137,0,4303823,32226,2837361,18629
2021-05-01T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1640,216,1856,39474,41330,-3026,941,315967,12893,,,370190,5620325,1780955,"Sono stati eliminati 1 casi, positivi a test antigenico ma non confermati da tampone molecolare.",8,,,369892,298,4421740,1198585,ITH,ITH5,369250,940,312018,3949,1732,-92,12876,17,226,-10,5585982,34343,1776316,4639
2021-05-01T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,216,30,246,7118,7364,-214,223,94304,3711,,,105379,1856474,645474,"A fronte della riferita risoluzione del blocco dei sistemi informativi sanitari segnalato ieri, i dati odierni comprendono i dati non visibili ieri a sistema.",5,,,90971,14408,1596407,260067,ITH,ITH4,105156,223,93878,426,239,-23,3700,11,30,0,1844082,12392,642020,3454
2021-05-01T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2145,276,2421,40874,43295,-1401,1069,273842,7686,,,324823,6166300,3945249,,15,,,317298,7525,4317917,1848383,ITI,ITI4,323754,1069,271385,2457,2182,-37,7673,13,284,-8,6122534,43766,3926563,18686
2021-05-01T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,459,63,522,5011,5533,62,219,89913,4189,,,99635,1449115,588440,,4,,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,99635,0,1191035,258080,ITC,ITC3,99416,219,89762,151,470,-11,4183,6,65,-2,1442243,6872,586141,2299
2021-05-01T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3403,536,3939,47684,51623,-862,2139,722214,32922,,,806759,9534440,3857911,,16,,,759505,47254,8180997,1353443,ITC,ITC4,804620,2139,719265,2949,3495,-92,32870,52,550,-14,9475296,59144,3838002,19909
2021-05-01T17:00:00,ITA,11,Marche,43.61675973,13.5188753,398,66,464,5714,6178,-24,259,88843,2943,,,97964,1135300,678943,,3,,,97964,0,1016326,118974,ITI,ITI3,97705,259,88565,278,408,-10,2938,5,67,-1,1130042,5258,675999,2944
2021-05-01T17:00:00,ITA,14,Molise,41.55774754,14.65916051,34,6,40,592,632,3,31,12149,478,,,13259,215213,183156,,0,,,13259,0,202580,12633,ITF,ITF2,13228,31,12124,25,40,-6,475,3,8,-2,214609,604,182573,583
2021-05-01T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,61,4,65,1095,1160,121,135,68955,1162,,,71277,1383822,395048,135 nuovi positivi di cui 99 AG positivi nei 10 giorni precedenti confermati da PCR,2,,,58138,13139,556530,827292,ITH,ITH1,71142,135,68942,13,63,-2,1161,1,2,2,1372085,11737,394762,286
2021-05-01T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,61,20,81,1051,1132,56,78,41600,1345,,,44077,768965,191854,,3,,,31964,12113,638553,130412,ITH,ITH2,43999,78,41579,21,69,-8,1344,1,20,0,765959,3006,191471,383
2021-05-01T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2084,200,2284,13187,15471,-228,882,319531,11273,,,346275,3978892,1698460,,12,,,328854,17421,2685603,1293289,ITC,ITC1,345393,882,318439,1092,2111,-27,11255,18,210,-10,3951835,27057,1690857,7603
2021-05-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1596,228,1824,45943,47767,175,1130,182310,5894,,,235971,2235853,1123006,,9,,"E' stata effettuata una riclassificazione di alcuni casi confermati da test antigenico, che sono risultati successivamente anche confermati da test molecolare e quindi ricompresi tra questi",234997,974,2074937,160916,ITF,ITF4,234841,1130,181376,934,1631,-35,5873,21,224,4,2224403,11450,1120349,2657
2021-05-01T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,371,49,420,16556,16976,-117,184,36328,1387,,,54691,1190323,698532,,5,,Si segnala il decesso dei paz.:  - 1 uomo 55 aa Residente nella Città Metropolitana di Cagliari  - 1 uomo 71 aa Residente nella Città Metropolitana di Cagliari  - 1 uomo 81 aa Residente nella Provincia di Sassari ,54674,17,833938,356385,ITG,ITG2,54507,184,36030,298,370,1,1384,3,49,0,1186276,4047,695144,3388
2021-05-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1136,167,1303,23470,24773,-123,1000,179294,5420,,,209487,3920442,1516447,,9,,,209487,0,2292493,1627949,ITG,ITG1,208487,1000,178181,1113,1172,-36,5410,10,165,2,3893413,27029,1507241,9206
2021-05-01T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1279,248,1527,18872,20399,-270,895,201136,6202,,,227737,4152203,2019607,,14,,,224789,2948,3339412,812791,ITI,ITI1,226842,895,199989,1147,1332,-53,6184,18,253,-5,4120489,31714,2009414,10193
2021-05-01T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,165,28,193,2688,2881,-52,96,50300,1357,,,54538,1174592,359191,"Si fa presente che 7 dei ricoveri NON UTI, non rientrano nei codici disciplina COVID e pertanto vengono collocati in ""Altra Struttura"".",4,,,54538,0,862418,312174,ITI,ITI2,54442,96,50157,143,169,-4,1352,5,34,-6,1165024,9568,358093,1098
2021-05-01T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,35,8,43,684,727,-22,58,9804,459,,,10990,114816,58067,,0,,,10450,540,90504,24312,ITC,ITC2,10932,58,9725,79,36,-1,458,1,8,0,113967,849,57750,317
2021-05-01T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,907,154,1061,20715,21776,-116,914,379687,11350,,,412813,7176728,1676614,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato   17 dimessi da TI  invece del n.  12  effettivi che include anche i negativizzati. ,14,,,401663,11150,5020063,2156665,ITH,ITH3,411899,914,378677,1010,964,-57,11330,20,161,-7,7132870,43858,1672121,4493
