data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-12-10T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,657,65,722,15269,15991,-330,227,14197,1013,,,31201,449788,250253,,6,,,30974,227,13650,547,666,-9,1003,10,64,1,446996,2792,249398,855
2020-12-10T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,122,15,137,6134,6271,-13,46,2726,189,,,9186,163918,163078,,2,,,9140,46,2673,53,123,-1,183,6,13,2,163306,612,162432,646
2020-12-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,370,24,394,9382,9776,-351,169,9026,373,,,19175,390615,377344,,1,,,19006,169,8513,513,374,-4,366,7,25,-1,387883,2732,375190,2154
2020-12-10T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1789,140,1929,94236,96165,-1048,1198,71662,2165,,,169992,1751218,1191200,,0,Al momento non è possibile definire il dato dei tamponi antigenici.,Non ci è possibile trasmettere i rimanenti dati perchè in corso di definizione,168794,1198,69473,2189,1852,-63,2108,57,138,2,1737112,14106,1181198,10002
2020-12-10T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2845,229,3074,61643,64717,-1126,1453,68697,6386,,,139800,2276951,1133307,In seguito a verifica sui dati comunicati nei giorni passati è stato eliminato 1 caso in quanto giudicato non caso COVID-19.,17,,,138348,1452,66191,2506,2857,-12,6314,72,233,-4,2259395,17556,1128691,4616
2020-12-10T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,652,62,714,13481,14195,-760,672,22430,1164,,,37789,792239,303968,,5,,,37117,672,21040,1390,663,-11,1122,42,63,-1,783883,8356,301832,2136
2020-12-10T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3036,339,3375,87392,90767,-3051,1488,42344,2802,,,135913,2414442,1912167,,19,,,134425,1488,37873,4471,3109,-73,2734,68,342,-3,2398526,15916,1903293,8874
2020-12-10T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,822,85,907,8051,8958,-289,320,43124,2602,,,54684,637449,301691,,3,i 104903 test antigenici rapidi sono riferiti a partire dal 02/11/2020;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,,54364,320,42526,598,841,-19,2591,11,88,-3,633457,3992,300174,1517
2020-12-10T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,5613,748,6361,80882,87243,-2660,2093,324961,23449,,,435653,4350769,2436786,,62,,,433560,2093,320380,4581,5727,-114,23277,172,766,-18,4326540,24229,2429884,6902
2020-12-10T17:00:00,ITA,11,Marche,43.61675973,13.5188753,501,86,587,12632,13219,-298,323,18791,1373,,,33383,443307,259267,,5,,,33060,323,18179,612,518,-17,1364,9,85,1,440236,3071,257377,1890
