data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-11-16T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,571,59,630,12869,13499,465,642,5634,690,9249,10574,19823,347929,209407,"Dal totale dei positivi è stato eliminato 1 caso in quanto non paziente COVID
",19182,641,5469,165,565,6,679,11,59,0,344353,3576,207477,1930
2020-11-16T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,140,27,167,3905,4072,103,127,949,85,1740,3366,5106,127634,126804,TOTALI TAMPONI EFFETTUATI/CASI TESTATI E TOTALE CASI POSITIVI RESIDENTI IN REGIONE BASILICATA IN CORSO DI REVISIONE.,4979,127,931,18,155,-15,79,6,26,1,126798,836,125928,876
2020-11-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,358,45,403,6865,7268,229,297,2942,180,1435,8955,10390,321542,318237,,10093,297,2880,62,342,16,174,6,41,4,319813,1729,316589,1648
2020-11-16T17:00:00,ITA,15,Campania,40.83956555,14.25084984,2190,192,2382,89132,91514,3257,4079,22686,1066,112552,2714,115266,1292302,912270,,111187,4079,21901,785,2224,-34,1029,37,194,-2,1267192,25110,891617,20653
2020-11-16T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2393,247,2640,52789,55429,2228,2547,30570,5067,58909,32157,91066,1873435,980006,In seguito a verifica sui dati comunicati nei giorni passati è stato eliminato 1 caso in quanto giudicato non caso COVID-19.,88520,2546,30275,295,2285,108,5044,23,246,1,1858993,14442,972719,7287
2020-11-16T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,407,47,454,9601,10055,128,456,8792,546,16657,2736,19393,623585,254630,,18937,456,8482,310,401,6,528,18,43,4,620174,3411,253332,1298
2020-11-16T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3099,278,3377,65893,69270,1961,2407,15731,1680,24948,61733,86681,1854203,1503973,,84274,2407,15319,412,3159,-60,1646,34,274,4,1834504,19699,1490435,13538
2020-11-16T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1381,111,1492,14409,15901,163,365,25717,2124,30461,13281,43742,529552,266634,,43377,365,25530,187,1393,-12,2109,15,115,-4,527347,2205,265754,880
2020-11-16T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,7901,855,8756,143583,152339,-10202,4128,153103,19466,245017,79891,324908,3568531,2160155,,320780,4128,138872,14231,7781,120,19367,99,837,18,3550494,18037,2152870,7285
2020-11-16T17:00:00,ITA,11,Marche,43.61675973,13.5188753,499,78,577,13634,14211,162,282,8268,1119,23400,198,23598,370514,217369,,23316,282,8156,112,483,16,1111,8,77,1,368894,1620,216441,928
