data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-12-11T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,647,66,713,14786,15499,-492,262,14947,1017,,,31463,453936,251413,,5,,,31201,262,14197,750,657,-10,1013,4,65,1,449788,4148,250253,1160
2020-12-11T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,116,15,131,6100,6231,-40,104,2864,195,,,9290,164832,163992,,1,,,9186,104,2726,138,122,-6,189,6,15,0,163918,914,163078,914
2020-12-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,365,21,386,9030,9416,-360,158,9538,379,,,19333,393096,379815,,2,I tamponi di ieri erano 390.443,,19175,158,9026,512,370,-5,373,6,24,-3,390615,2481,377344,2471
2020-12-11T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1828,144,1972,92508,94480,-1685,1340,74624,2228,,,171332,1769241,1204721,,0,Al momento non è possibile definire il dato dei tamponi antigenici.,Non ci è possibile trasmettere i rimanenti dati perchè in corso di definizione,169992,1340,71662,2962,1789,39,2165,63,140,4,1751218,18023,1191200,13521
2020-12-11T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2812,231,3043,61012,64055,-662,1211,70508,6447,,,141010,2294410,1138536,In seguito a verifica sui dati comunicati nei giorni passati è stato eliminato 1 caso in quanto giudicato non caso COVID-19.,18,,,139800,1210,68697,1811,2845,-33,6386,61,229,2,2276951,17459,1133307,5229
2020-12-11T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,644,63,707,13528,14235,40,843,23210,1187,,,38632,800671,306150,,8,,,37789,843,22430,780,652,-8,1164,23,62,1,792239,8432,303968,2182
2020-12-11T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3026,339,3365,84828,88193,-2574,1230,46080,2870,,,137143,2429359,1919497,,19,,,135913,1230,42344,3736,3036,-10,2802,68,339,0,2414442,14917,1912167,7330
2020-12-11T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,803,84,887,7878,8765,-193,340,43632,2627,,,55024,642156,302888,,4,i 108998 test antigenici rapidi sono riferiti a partire dal 02/11/2020;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,,54684,340,43124,508,822,-19,2602,25,85,-1,637449,4707,301691,1197
2020-12-11T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,5417,733,6150,81299,87449,206,2938,327561,23581,,,438591,4383640,2446490,,26,,,435653,2938,324961,2600,5613,-196,23449,132,748,-15,4350769,32871,2436786,9704
2020-12-11T17:00:00,ITA,11,Marche,43.61675973,13.5188753,490,86,576,12537,13113,-106,483,19374,1379,,,33866,448004,262113,,5,,,33383,483,18791,583,501,-11,1373,6,86,0,443307,4697,259267,2846
2020-12-11T17:00:00,ITA,14,Molise,41.55774754,14.65916051,50,8,58,2560,2618,63,73,2720,152,,,5490,101503,93735,,2,,,5417,73,2715,5,53,-3,147,5,7,1,100381,1122,92741,994
