data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-11-08T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,484,43,527,8804,9331,436,584,4592,596,7615,6904,14519,315128,193373,Dal totale dei positivi è stato eliminato 1 caso in quanto paziente non covid.,13936,583,4445,147,484,0,596,0,43,0,311779,3349,191808,1565
2020-11-08T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,102,16,118,2536,2654,239,246,805,64,1231,2292,3523,115374,114414,IN CORSO REVISIONE DATI PER TAMPONI TOTALI EFFETTUATI E CASI TESTATI E PER TOTALE CASI POSITIVI RESIDENTI IN REGIONE BASILICATA.,3277,246,799,6,98,4,63,1,15,1,114138,1236,113188,1226
2020-11-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,233,16,249,4771,5020,225,359,2305,140,1275,6190,7465,298954,295866,,7106,359,2175,130,227,6,136,4,16,0,295772,3182,292747,3119
2020-11-08T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1817,186,2003,67649,69652,4146,4601,16441,826,84257,2662,86919,1123703,778735,,82318,4601,16001,440,1756,61,811,15,179,7,1097897,25806,757092,21643
2020-11-08T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1836,194,2030,35822,37852,2203,2360,28740,4816,48938,22470,71408,1728477,914731,"In seguito a verifica sui dati comunicati nei giorni passati è stato eliminato 1 caso in quanto giudicato non caso COVID-19.
",69049,2359,28619,121,1723,113,4781,35,188,6,1715527,12950,906435,8296
2020-11-08T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,301,45,346,7295,7641,281,504,6636,451,12787,1941,14728,580815,242297,,14224,504,6422,214,286,15,442,9,45,0,576329,4486,240788,1509
2020-11-08T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2686,237,2923,48455,51378,2342,2489,13023,1413,20086,45728,65814,1646433,1341488,,63325,2489,12892,131,2619,67,1397,16,237,0,1621947,24486,1322844,18644
2020-11-08T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1334,81,1415,10993,12408,300,886,22106,1916,25326,11104,36430,486171,248706,,35544,886,21522,584,1303,31,1914,2,77,4,481315,4856,246833,1873
2020-11-08T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,6225,650,6875,125535,132410,4781,6318,110001,18343,201314,59440,260754,3256646,2003397,,254436,6318,108581,1420,5813,412,18226,117,610,40,3218458,38188,1981508,21889
2020-11-08T17:00:00,ITA,11,Marche,43.61675973,13.5188753,493,69,562,9679,10241,414,502,7498,1050,18600,189,18789,345496,202915,,18287,502,7415,83,454,39,1045,5,67,2,342550,2946,201310,1605
