data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-11-12T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,81,10,91,2529,2620,14,152,79212,2566,,,84398,2681085,907015,,5,,,84398,0,1520534,1160551,ITF,ITF1,84246,152,79074,138,2566,0,6,4,2668436,12649,905670,1345
2021-11-12T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,25,1,26,835,861,-20,17,29551,624,,,31036,490820,245465,"Il numero totale dei decessi ne comprende n. 23 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0,,,31036,0,465930,24890,ITF,ITF5,31019,17,29514,37,624,0,1,0,490166,654,245263,202
2021-11-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,107,9,116,3573,3689,64,219,84275,1465,,,89429,1349847,1149910,"L' ASP di Catanzaro comunica che 1 decesso in terapia Intensiva appartenente all'Asp di Crotone.								 L' ASP di Cosenza comunica che: ""Oggi nel setting fuori regione si registrano il decesso di 1 ricoverato in Reparto AO CS e 1 nuovo caso a domicilio.								",3,,,89410,19,1115950,233897,ITF,ITF6,89210,219,84123,152,1462,3,9,0,1345014,4833,1147056,2854
2021-11-12T17:00:00,ITA,15,Campania,40.83956555,14.25084984,290,17,307,11385,11692,407,869,455043,8123,,,474858,7478024,3650100,,5,,,463270,11588,5590375,1887649,ITF,ITF3,473989,869,454587,456,8117,6,17,0,7451715,26309,3646985,3115
2021-11-12T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,362,42,404,9356,9760,391,712,414760,13648,,,438168,9951813,2186613,"Sono stati eliminati 1 casi, positivi a test antigenico ma non confermati da tampone molecolare.",4,,,437765,403,6310828,3640985,ITH,ITH5,437457,711,414444,316,13644,4,40,2,9924394,27419,2184007,2606
2021-11-12T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,134,19,153,4177,4330,317,577,113237,3895,,,121462,3444935,875718,Il totale dei casi positivi è stato ridotto di 2 a seguito di 1 test antigenico non confermato dal successivo tampone molecolare (caso relativo alla provincia di TS) e a seguito di 1 test positivo rimosso dopo revisione del caso (caso relativo alla provincia di UD).		,2,,,105496,15966,2304960,1139975,ITH,ITH4,120887,575,112983,254,3891,4,19,0,3424526,20409,874129,1589
2021-11-12T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,537,69,606,11187,11793,357,1073,382642,8869,,,403304,10363519,4814416,,4,,,393375,9929,5995906,4367613,ITI,ITI4,402231,1073,381931,711,8864,5,68,1,10311624,51895,4809376,5040
2021-11-12T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,95,9,104,1775,1879,88,226,110584,4439,,,116902,2779720,932755,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,0,,"*di cui 72 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021]. Si segnala che in data odierna è avvenuto il recupero dei dati non trasmessi in precedenza per problemi tecnici di natura informatica. In particolare, in data odierna sono stati segnalati n. 235 nuovi positivi di cui n. 1 con data di prima positività il 3 novembre e n. 8 con data di prima positività il 09 novembre 2021.",116902,0,1750343,1029377,ITC,ITC3,116667,235,110441,143,4435,4,9,0,2766524,13196,931071,1684
2021-11-12T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,434,49,483,13078,13561,526,1103,855389,34222,,,903172,18580293,5928876,,6,,,832884,70288,11515262,7065031,ITC,ITC4,902069,1103,854818,571,34216,6,45,4,18481284,99009,5917341,11535
2021-11-12T17:00:00,ITA,11,Marche,43.61675973,13.5188753,70,21,91,2929,3020,84,210,112012,3119,,,118151,1669249,966844,,0,,,118151,0,1429486,239763,ITI,ITI3,117941,210,111887,125,3118,1,21,0,1665614,3635,964861,1983
