data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-11-01T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,391,32,423,6210,6633,430,489,3854,554,6792,4249,11041,291057,180627,Sono stati rialliallineati alcuni casi da scrrening,10552,489,3799,55,371,20,550,4,29,3,287781,3276,178791,1836
2020-11-01T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,86,11,97,1498,1595,149,150,705,49,840,1509,2349,105510,104650,,2199,150,704,1,83,3,49,0,7,4,103999,1511,103139,1511
2020-11-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,161,13,174,3188,3362,238,245,1831,117,1208,4102,5310,277844,274781,,5065,245,1825,6,154,7,116,1,9,4,274973,2871,271920,2861
2020-11-01T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1416,170,1586,45592,47178,3448,3860,11746,676,56979,2621,59600,980619,669472,,55740,3860,11337,409,1403,13,673,3,168,2,958834,21785,651607,17865
2020-11-01T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1267,132,1399,23518,24917,1704,1758,28033,4647,42249,15348,57597,1601730,858385,In seguito a verifica sui dati sono stati eliminati 2 casi in quanto giudicati non casi COVID-19.,55841,1756,27997,36,1223,44,4631,16,125,7,1589691,12039,849335,9050
2020-11-01T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,180,38,218,5158,5376,244,403,5470,398,9981,1263,11244,542817,230864,,10841,403,5312,158,167,13,397,1,36,2,539077,3740,229633,1231
2020-11-01T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2055,185,2240,33866,36106,2200,2351,11436,1231,16314,32459,48773,1460609,1192749,,46422,2351,11304,132,1944,111,1212,19,182,3,1437667,22942,1174268,18481
2020-11-01T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1080,63,1143,7571,8714,283,736,18849,1781,21066,8278,29344,447720,231090,,28608,736,18403,446,1036,44,1774,7,57,6,443676,4044,229381,1709
2020-11-01T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4246,418,4664,85411,90075,8064,8607,96687,17589,162163,42188,204351,2984274,1856584,,195744,8607,96198,489,4033,213,17535,54,392,26,2944616,39658,1834360,22224
2020-11-01T17:00:00,ITA,11,Marche,43.61675973,13.5188753,327,42,369,6354,6723,618,683,7060,1021,14654,150,14804,323790,189574,,14121,683,6997,63,275,52,1019,2,47,-5,320766,3024,187640,1934
2020-11-01T17:00:00,ITA,14,Molise,41.55774754,14.65916051,18,5,23,1030,1053,97,101,703,40,1746,50,1796,64556,60268,,1695,101,702,1,17,1,37,3,6,-1,63701,855,59452,816
2020-11-01T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,273,17,290,5341,5631,531,534,2970,315,8916,0,8916,236165,121821,,8382,534,2970,0,237,36,312,3,18,-1,233334,2831,120339,1482
2020-11-01T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,152,9,161,1939,2100,175,210,6807,441,5311,4037,9348,291762,114652,,9138,210,6775,32,121,31,438,3,9,0,289152,2610,114145,507
2020-11-01T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2844,179,3023,31391,34414,1590,2024,33852,4394,33810,38850,72660,1039308,643829,,70636,2024,33429,423,2683,161,4383,11,174,5,1029059,10249,636308,7521
2020-11-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,677,87,764,11268,12032,639,680,6539,731,5278,14024,19302,563078,400285,per 726 casi non e' disponibile la provenienza,18622,680,6506,33,638,39,723,8,87,0,556545,6533,396687,3598
2020-11-01T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,336,43,379,5999,6378,323,399,3218,234,3746,6084,9830,270574,230042,,9431,399,3149,69,349,-13,227,7,39,4,267615,2959,227323,2719
2020-11-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,999,132,1131,14193,15324,882,1095,7011,518,14475,8378,22853,693322,488072,,21758,1095,6814,197,962,37,502,16,122,10,684775,8547,482882,5190
2020-11-01T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1106,173,1279,28695,29974,2130,2379,15305,1363,37515,9127,46642,1106715,736419,,44263,2379,15074,231,1046,60,1345,18,163,10,1090874,15841,727110,9309
2020-11-01T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,295,46,341,6869,7210,656,768,3602,135,3247,7700,10947,302117,175572,,10179,768,3499,103,277,18,126,9,43,3,298628,3489,173851,1721
2020-11-01T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,161,12,173,1747,1920,107,135,1281,174,2972,403,3375,41665,26164,,3240,135,1259,22,146,15,168,6,7,5,41184,481,25954,210
2020-11-01T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,832,132,964,30450,31414,2235,2300,25421,2418,25008,34245,59253,2342686,910040,,56953,2300,25373,48,801,31,2401,17,123,9,2328514,14172,904337,5703
