data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-01-03T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,445,41,486,10937,11423,172,207,23299,1231,,,35953,522168,271920,,6,,,35746,207,23266,33,443,2,1229,2,37,4,520091,2077,271089,831
2021-01-03T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,97,3,100,6091,6191,49,81,4649,262,,,11102,186177,118776,"N. 7 decessi del mese di dicembre 2020 sono da attribuire a casi positivi per SARS CoV-2 non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0,,,11021,81,4618,31,93,4,261,1,3,0,185449,728,118458,318
2021-01-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,242,19,261,8396,8657,-159,150,15445,488,,,24590,445178,426109,,2,,,24440,150,15142,303,234,8,482,6,19,0,443632,1546,424698,1411
2021-01-03T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1362,98,1460,76365,77825,-190,619,111682,2911,,,192418,2065442,1381652,,5,,,191799,619,110891,791,1355,7,2893,18,99,-1,2059031,6411,1377433,4219
2021-01-03T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2657,234,2891,53737,56628,-1878,1818,113473,7887,,,177988,2603180,1239887,,15,,,176170,1818,109818,3655,2649,8,7846,41,229,5,2588793,14387,1234681,5206
2021-01-03T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,658,61,719,10930,11649,-198,200,37945,1707,,,51301,945021,344372,,6,,,51101,200,37567,378,652,6,1687,20,63,-2,942810,2211,343713,659
2021-01-03T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2824,309,3133,74020,77153,705,1681,86927,3840,,,167920,2742661,2062465,,17,,,166239,1681,85975,952,2792,32,3816,24,315,-6,2730769,11892,2056450,6015
2021-01-03T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,696,71,767,5020,5787,85,221,52606,2912,,,61305,717946,325350,,6,I 164106 test antigenici rapidi sono riferiti a partire dal 02/11/2020;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,,61084,221,52475,131,674,22,2907,5,66,5,715806,2140,324658,692
2021-01-03T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3267,489,3756,53199,56955,945,1709,402798,25317,,,485070,4910001,2626398,,12,,,483361,1709,402070,728,3293,-26,25281,36,491,-2,4896792,13209,2621183,5215
2021-01-03T17:00:00,ITA,11,Marche,43.61675973,13.5188753,479,67,546,11520,12066,279,372,29301,1607,,,42974,542199,321308,,8,,,42602,372,29221,80,479,0,1594,13,65,2,539624,2575,319908,1400
